Calibration probe
Project:  Wika
Date , Time , Step no, T set , RH set, 904 Temp [°C],904 RH [%],Chan 3,Chan 4,Chan 5,Chan 6,Chan 7,Chan 8
19/07/2022,10:25:23 AM,1, 25.0, 60.0, 2106,999,0,0,0,2,0,0
19/07/2022,11:19:50 AM,2, 25.0, 60.0, 2017,971,0,0,0,2,0,0
19/07/2022,11:20:49 AM,2, 25.0, 60.0, 2019,971,0,0,0,2,0,0
19/07/2022,11:21:49 AM,2, 25.0, 60.0, 2027,961,0,0,0,2,0,0
19/07/2022,11:22:50 AM,2, 25.0, 60.0, 2024,971,0,0,0,2,0,0
19/07/2022,11:23:50 AM,2, 25.0, 60.0, 2019,961,0,0,0,0,0,0
19/07/2022,11:24:50 AM,2, 25.0, 60.0, 2017,964,0,0,0,2,0,0
19/07/2022,11:25:50 AM,2, 25.0, 60.0, 2019,971,0,0,0,0,0,0
19/07/2022,11:26:50 AM,2, 25.0, 60.0, 2019,976,0,0,0,0,0,0
19/07/2022,11:27:50 AM,2, 25.0, 60.0, 2032,969,0,0,0,0,0,0
19/07/2022,11:28:49 AM,2, 25.0, 60.0, 2024,969,0,0,0,2,0,0
19/07/2022,11:29:49 AM,2, 25.0, 60.0, 2027,969,0,0,0,2,0,0
19/07/2022,11:30:50 AM,2, 25.0, 60.0, 2027,974,0,0,0,0,0,0
19/07/2022,11:31:50 AM,2, 25.0, 60.0, 2027,969,0,0,0,2,0,0
19/07/2022,11:32:50 AM,2, 25.0, 60.0, 2022,964,0,0,0,2,0,0
19/07/2022,11:33:50 AM,2, 25.0, 60.0, 2017,964,0,0,0,2,0,0
19/07/2022,11:34:50 AM,2, 25.0, 60.0, 2022,971,0,0,0,2,0,0
19/07/2022,11:35:50 AM,2, 25.0, 60.0, 2024,974,0,0,0,2,0,0
19/07/2022,11:36:50 AM,2, 25.0, 60.0, 2019,964,0,0,0,0,0,0
19/07/2022,11:37:49 AM,2, 25.0, 60.0, 2027,966,0,0,0,0,0,0
19/07/2022,11:38:49 AM,2, 25.0, 60.0, 2019,976,0,0,0,2,0,0
19/07/2022,11:39:50 AM,2, 25.0, 60.0, 2027,964,0,0,0,2,0,0
19/07/2022,11:40:50 AM,2, 25.0, 60.0, 2024,974,0,0,0,0,0,0
19/07/2022,11:41:50 AM,2, 25.0, 60.0, 2022,969,0,0,0,0,0,0
19/07/2022,11:42:50 AM,2, 25.0, 60.0, 2024,969,0,0,0,2,0,0
19/07/2022,11:43:50 AM,2, 25.0, 60.0, 2027,981,0,0,0,2,0,0
19/07/2022,11:44:50 AM,2, 25.0, 60.0, 2027,966,0,0,0,2,0,0
19/07/2022,11:45:50 AM,2, 25.0, 60.0, 2024,966,0,0,0,0,0,0
19/07/2022,11:46:49 AM,2, 25.0, 60.0, 2024,969,0,0,0,0,0,0
19/07/2022,11:47:49 AM,2, 25.0, 60.0, 2027,974,0,0,0,2,0,0
19/07/2022,11:48:49 AM,2, 25.0, 60.0, 2024,976,0,0,0,2,0,0
19/07/2022,11:49:50 AM,2, 25.0, 60.0, 2027,959,0,0,0,2,0,0
19/07/2022,11:50:50 AM,2, 25.0, 60.0, 2027,974,0,0,0,2,0,0
